pdb,spearman_corr
1acb,0.4695295455558689
1ay7,0.7546852754809671
1c3a,0.8149572307111052
1euv,0.7593345651576173
1f60,0.8335523476374078
1ggp,0.6873627881832182
1itb,0.8216789250857194
1j7d,0.5275557574310991
1kfu,0.8771761844835358
1mbv,0.39405355545337684
1n1j,0.8791530039087502
1pdk,0.8293468173609061
1qav,0.5860045417770956
1r8o,0.8488597257785931
1ry7,0.8217364279756315
1spp,0.6372414128252496
1tfo,0.7332205631831242
1ugh,0.7062999293772098
1ugq,0.8388681229668907
1vet,0.8352570148154381
1wmh,0.32490325445822793
1wqj,0.5226031281967816
1wrd,0.5061991681825219
1xg2,0.7363932076938854
2bkr,0.7661763319774816
2d5r,0.24985818160915704
2dvw,0.8068991433680908
2fhz,0.8134505534638768
2g2u,0.5894989795755575
2grn,0.1338196935108082
2h7z,-0.18577915891012417
2hla,0.8048844249929492
2hsm,0.6817935161300996
2hth,0.5054840489429591
2oul,0.7210600165717669
2pe6,0.31053887934766056
2wmp,0.7441076956881991
3dgp,0.855328235001988
3fpn,0.7615646344421563
3gfk,0.7709695736141432
3hw2,0.20993299836948334
3k9p,0.09706007987579246
3ona,0.42830648483699024
3qc8,0.6698718257242487
3qhy,0.6394581046678919
3rcz,0.6146519444893398
3sgb,0.6519078621421126
3u82,0.3939691097257428
3vz9,0.8014008250930864
3wdg,0.6856834949085725
3whq,0.7692408430366453
3ygs,0.03301719975593911
4bi8,0.6355893813650677
4ct6,0.7354883789576738
4dbg,0.501892520171169
4dhi,0.31074387928153846
4g6t,0.8311821558956992
4gi3,0.692982336746772
4h5s,0.6473691863338185
4hwi,0.04362707369157568
4je3,0.715304990974968
4k12,0.7323001987517942
4qjf,0.8283692006091872
4qlp,0.7321573499880873
4u1c,0.6051214220506075
4uzz,0.8105674210103948
4yii,0.676688632759472
5by8,0.8502362232961016
5dmb,0.7927617972096566
5k7m,0.8227954855852387
5maw,0.8484547333959259
5mu7,0.8553696431387232
5uq2,0.7533304946618974
5zrz,0.22808288552825493
6fud,0.7112497264095271
6kp3,0.45979650009528505
6wg4,0.7027705826420684
6xod,0.8009117019366939
6yxj,0.7446263360169731
6zbk,0.7248318575258327
7bxh,0.7248870015220232
7joe,0.6904215323355115
7jxv,0.5183179069276392
8enf,0.7846305733003619
